車両識別番号,車種名,閾値_AT異常,閾値_画面強調,閾値_Lv1,閾値_Lv2,閾値_Lv3
FKI069,"PasCityC	",24,24,24.6,25.3,26.4
FKI070,"PasCityC	",24,24,24.6,25.3,26.4
FKI071,"PasCityC	",24,24,24.6,25.3,26.4
FKI072,"PasCityC	",24,24,24.6,25.3,26.4
FKI073,"PasCityC	",24,24,24.6,25.3,26.4
FKI074,"PasCityC	",24,24,24.6,25.3,26.4
FKI075,"PasCityC	",24,24,24.6,25.3,26.4
FKI076,"PasCityC	",24,24,24.6,25.3,26.4
FKI077,"PasCityC	",24,24,24.6,25.3,26.4
FKI078,"PasCityC	",24,24,24.6,25.3,26.4
FKI079,"PasCityC	",24,24,24.6,25.3,26.4
FKI080,"PasCityC	",24,24,24.6,25.3,26.4
FKI081,"PasCityC	",24,24,24.6,25.3,26.4
FKI082,"PasCityC	",24,24,24.6,25.3,26.4
FKI083,"PasCityC	",24,24,24.6,25.3,26.4
FKI084,"PasCityC	",24,24,24.6,25.3,26.4
FKI085,"PasCityC	",24,24,24.6,25.3,26.4
FKI086,"PasCityC	",24,24,24.6,25.3,26.4
FKI087,"PasCityC	",24,24,24.6,25.3,26.4
FKI088,"PasCityC	",24,24,24.6,25.3,26.4
FKI089,"PasCityC	",24,24,24.6,25.3,26.4
FKI090,"PasCityC	",24,24,24.6,25.3,26.4
FKI091,"PasCityC	",24,24,24.6,25.3,26.4
FKI092,"PasCityC	",24,24,24.6,25.3,26.4
FKI093,"PasCityC	",24,24,24.6,25.3,26.4
FKI094,"PasCityC	",24,24,24.6,25.3,26.4
FKI095,"PasCityC	",24,24,24.6,25.3,26.4
FKI096,"PasCityC	",24,24,24.6,25.3,26.4
FKI097,"PasCityC	",24,24,24.6,25.3,26.4
FKI098,"PasCityC	",24,24,24.6,25.3,26.4
FKI099,"PasCityC	",24,24,24.6,25.3,26.4
FKI100,"PasCityC	",24,24,24.6,25.3,26.4
FKI101,"PasCityC	",24,24,24.6,25.3,26.4
FKI102,"PasCityC	",24,24,24.6,25.3,26.4
IZM001,グリッター・EB,20.5,20.5,23.9,24.7,26.3
IZM002,グリッター・EB,20.5,20.5,23.9,24.7,26.3
IZM003,グリッター・EB,20.5,20.5,23.9,24.7,26.3
IZM004,グリッター・EB,20.5,20.5,23.9,24.7,26.3
IZM005,グリッター・EB,20.5,20.5,23.9,24.7,26.3
IZM006,グリッター・EB,20.5,20.5,23.9,24.7,26.3
IZM007,グリッター・EB,20.5,20.5,23.9,24.7,26.3
IZM008,グリッター・EB,20.5,20.5,23.9,24.7,26.3
IZM009,グリッター・EB,20.5,20.5,23.9,24.7,26.3
IZM010,グリッター・EB,20.5,20.5,23.9,24.7,26.3
IZM011,グリッター・EB,20.5,20.5,23.9,24.7,26.3
IZM012,グリッター・EB,20.5,20.5,23.9,24.7,26.3
IZM013,グリッター・EB,20.5,20.5,23.9,24.7,26.3
IZM014,グリッター・EB,20.5,20.5,23.9,24.7,26.3
IZM015,グリッター・EB,20.5,20.5,23.9,24.7,26.3
IZM016,グリッター・EB,20.5,20.5,23.9,24.7,26.3
IZM017,グリッター・EB,20.5,20.5,23.9,24.7,26.3
IZM018,グリッター・EB,20.5,20.5,23.9,24.7,26.3
IZM019,グリッター・EB,20.5,20.5,23.9,24.7,26.3
IZM020,グリッター・EB,20.5,20.5,23.9,24.7,26.3
IZM021,グリッター・EB,20.5,20.5,23.9,24.7,26.3
IZM022,グリッター・EB,20.5,20.5,23.9,24.7,26.3
IZM023,グリッター・EB,20.5,20.5,23.9,24.7,26.3
IZM024,グリッター・EB,20.5,20.5,23.9,24.7,26.3
IZM025,グリッター・EB,20.5,20.5,23.9,24.7,26.3
KMT001,"PasCityC	",24,24,24.6,25.3,26.4
KMT002,"PasCityC	",24,24,24.6,25.3,26.4
KMT003,"PasCityC	",24,24,24.6,25.3,26.4
KMT004,"PasCityC	",24,24,24.6,25.3,26.4
KMT005,"PasCityC	",24,24,24.6,25.3,26.4
KMT006,"PasCityC	",24,24,24.6,25.3,26.4
KMT007,"PasCityC	",24,24,24.6,25.3,26.4
KMT008,"PasCityC	",24,24,24.6,25.3,26.4
KMT009,"PasCityC	",24,24,24.6,25.3,26.4
KMT010,"PasCityC	",24,24,24.6,25.3,26.4
KMT011,"PasCityC	",24,24,24.6,25.3,26.4
KMT012,"PasCityC	",24,24,24.6,25.3,26.4
KMT013,"PasCityC	",24,24,24.6,25.3,26.4
KMT014,"PasCityC	",24,24,24.6,25.3,26.4
KMT015,"PasCityC	",24,24,24.6,25.3,26.4
KMT016,"PasCityC	",24,24,24.6,25.3,26.4
KMT017,"PasCityC	",24,24,24.6,25.3,26.4
KMT018,"PasCityC	",24,24,24.6,25.3,26.4
KMT019,"PasCityC	",24,24,24.6,25.3,26.4
KMT020,"PasCityC	",24,24,24.6,25.3,26.4
KMT021,"PasCityC	",24,24,24.6,25.3,26.4
KMT022,"PasCityC	",24,24,24.6,25.3,26.4
KMT023,"PasCityC	",24,24,24.6,25.3,26.4
KMT024,"PasCityC	",24,24,24.6,25.3,26.4
KMT025,"PasCityC	",24,24,24.6,25.3,26.4
KMT026,"PasCityC	",24,24,24.6,25.3,26.4
KMT027,"PasCityC	",24,24,24.6,25.3,26.4
KMT028,"PasCityC	",24,24,24.6,25.3,26.4
KMT029,"PasCityC	",24,24,24.6,25.3,26.4
KMT030,"PasCityC	",24,24,24.6,25.3,26.4
KMT031,"PasCityC	",24,24,24.6,25.3,26.4
KMT032,"PasCityC	",24,24,24.6,25.3,26.4
KMT033,"PasCityC	",24,24,24.6,25.3,26.4
KMT034,"PasCityC	",24,24,24.6,25.3,26.4
KMT035,"PasCityC	",24,24,24.6,25.3,26.4
KMT036,"PasCityC	",24,24,24.6,25.3,26.4
KMT037,"PasCityC	",24,24,24.6,25.3,26.4
KMT038,"PasCityC	",24,24,24.6,25.3,26.4
KMT039,"PasCityC	",24,24,24.6,25.3,26.4
KMT040,"PasCityC	",24,24,24.6,25.3,26.4
KMT041,"PasCityC	",24,24,24.6,25.3,26.4
KMT042,"PasCityC	",24,24,24.6,25.3,26.4
KMT043,"PasCityC	",24,24,24.6,25.3,26.4
KMT044,"PasCityC	",24,24,24.6,25.3,26.4
KMT045,"PasCityC	",24,24,24.6,25.3,26.4
KMT046,"PasCityC	",24,24,24.6,25.3,26.4
KMT047,"PasCityC	",24,24,24.6,25.3,26.4
KMT048,"PasCityC	",24,24,24.6,25.3,26.4
KMT049,"PasCityC	",24,24,24.6,25.3,26.4
KMT050,"PasCityC	",24,24,24.6,25.3,26.4
KMT051,"PasCityC	",24,24,24.6,25.3,26.4
KMT052,"PasCityC	",24,24,24.6,25.3,26.4
KMT053,"PasCityC	",24,24,24.6,25.3,26.4
KMT054,"PasCityC	",24,24,24.6,25.3,26.4
KMT055,"PasCityC	",24,24,24.6,25.3,26.4
KMT056,"PasCityC	",24,24,24.6,25.3,26.4
KMT057,"PasCityC	",24,24,24.6,25.3,26.4
KMT058,"PasCityC	",24,24,24.6,25.3,26.4
