station_id,name,lat,lon,capacity
00000132,J1-36.WJ Haus,35.629067,139.711779,6
00000134,D1-13.新宿御苑新宿門【西側】,35.688945,139.706536,12
00000136,N-14.はたけもり,34.652031,135.53388,4
00000137,061.NTT則武ビル,35.172234,136.87632,5
00000138,062.NTT布池ビル,35.175612,136.921726,10
00000139,063.NTT栄ビル(1)(2),35.1694,136.912338,10
00000140,064.NTT上前津ビル,35.159334,136.907351,5
00000141,065.NTT広小路ビル,35.166407,136.899142,6
00000143,92.線路敷ボードウォーク広場,33.22999,131.61292,5
00000144,93. オアシスひろば21-A,33.23801,131.6024,4
00000145,94. オアシスひろば21-B,33.23878,131.60105,8
00000146,J1-37.中目黒公園,35.640398,139.704069,17
00000147,J1-38.林試の森公園 北,35.626355,139.700153,7
00000151,J1-39.松見坂公園,35.655483,139.687325,3
00000152,K1-97.トミンタワー多摩川二丁目,35.555561,139.704345,23
00000156,J1-40.西小山公園,35.616541,139.697369,7
00000157,J1-41.CASSIA目黒,35.631319,139.70237,6
00000158,J1-42.都立大学駅北口バス停前,35.618622,139.67596,20
00000161,B4-22.リビオレゾン勝どきNEX,35.65554,139.77102,30
00000162,H1-151.コスモリード錦糸町,35.701347,139.819973,11
00000165,112.ドコモショップ翠町店,34.37361,132.47173,5
00000168,A2-25.プラウド神田駿河台,35.698991,139.76091,13
00000170,49.ローソン札幌桑園店,43.071527,141.331,15
00000172,56.長田・金沢彩の庭ホテル,36.575763,136.637299,13
00000174,34.JR郡山駅東口(大和郡山市観光協会）,34.647752,135.790634,5
00000175,066.名鉄協商パーキング伏見通錦,35.171138,136.896921,6
00000176,068.金山駅東口,35.142426,136.902294,5
00000180,I1-89.下神明駅自転車駐車場,35.608402,139.726118,5
00000181,C2-22.飯倉公園,35.655649,139.74427,10
00000182,50.ローソン札幌北6条西十四丁目店,43.06574,141.333403,13
00000183,51.ローソン札幌北6条西二十丁目店,43.065348,141.323925,20
00000185,067.中京テレビ,35.160983,136.881957,3
00000191,_G-17.大阪シティ信用金庫 都島本通支店,34.708724,135.534343,10
00000192,R-12.CASSIA天王寺東,34.643127,135.530026,10
00000193,122.ファミリーマート横浜本牧店,35.419003,139.648473,4
00000194,C1-71.芝商業高校前交差点,35.65583,139.759896,6
00000195,E-35.OCAT駐輪場,34.667138,135.495263,12
00000196,C1-72.新田町ビル,35.646307,139.746428,8
00000197,K1-98.鵜の木松山公園,35.577433,139.680752,6
00000198,K1-99.東原くすのき公園,35.584086,139.67898,8
00000199,K1-100.多摩川台公園,35.589794,139.666955,6
00000200,K1-101.小池公園,35.599541,139.697962,4
00000201,K1-102.上池台四丁目公園,35.595119,139.6996,3
00000204,18.ホテルオークラ新潟,37.920064,139.0513,8
00000205,Z21.コーナン川崎小田栄店,35.514643,139.706285,5
00000206,H1-153.三井リンクラボ新木場1,35.63851,139.823534,20
00000207,H1-154.やぐら橋下,35.631132,139.792726,17
00000208,M3-20.東急ステイ渋谷新南口,35.65494,139.70534,7
00000209,03.星野リゾートOMO5沖縄那覇,26.217404,127.679892,0
00000210,77.ローソン仙台泉崎一丁目店,38.223217,140.87109,15
00000211,92.ローソン仙台土樋店,38.244684,140.885819,9
00000214,074.St.Regis IZUMI (セントレジス泉),35.177253,136.910716,3
00000217,T2-39.ローソン 練馬大泉町五丁目店,35.758929,139.597548,7
00000218,49.西金沢駅西口,36.553237,136.62046,13
00000224,L-03.ファミリーマート東中浜六丁目店,34.683222,135.549928,10
00000225,O-07.ファミリーマート波除中央大通店,34.670373,135.465655,5
00000227,E-09.東横INN大阪なんば西,34.661542,135.497565,4
00000229,071.名鉄協商パーキング前津通,35.154116,136.906092,5
00000231,073.トヨタレンタリース愛知 柳橋店,35.167385,136.889546,7
00000232,K1-103.雪谷特別出張所,35.594515,139.691219,6
00000233,K1-104.六郷BASE,35.543573,139.714393,8
00000234,K1-105.東糀谷二丁目児童公園,35.555702,139.740802,4
00000235,95.大分駅高架下西駐輪場,33.2332,131.60503,13
00000236,96.バイシクルフレンドリーステーション,33.22844,131.61375,4
00000237,B4-23.交通広場（豊海町）,35.653771,139.769295,12
00000239,109.ホテル仙台ガーデンパレス,38.259441,140.886683,15
00000243,17.新港町,34.68406,135.192764,18
00000244,113.府中町役場,34.3925,132.504088,15
00000245,114.イオンモール広島府中,34.39378,132.49839,14
00000246,K1-106.ファミリーマート上池台夫婦坂店,35.599329,139.703343,8
00000250,076.ロイヤルパークスERささしま,35.160686,136.881182,9
00000251,077.グランメール城西,35.182883,136.893885,5
00000252,078.庄内ハウス,35.205894,136.891323,7
00000260,B-19.KDX南本町ビル,34.682251,135.505191,5
00000261,O-08.ファミリーマート弁天町駅前店,34.668307,135.463334,7
00000262,J-12.UR伝法団地,34.686564,135.448824,11
00000263,J-13.UR千鳥橋団地,34.687582,135.460087,23
00000264,J-14.UR酉島リバーサイドヒルなぎさ街,34.684736,135.439396,18
00000265,J-15.UR高見フローラルタウン6番街,34.691763,135.460034,5
00000266,079.エディオン名古屋本店,35.163562,136.890869,5
00000267,C-13.アパホテル大阪梅田,34.698414,135.489506,5
00000269,K1-107.馬込駅A2出口,35.596854,139.712139,9
00000270,K1-108.仲江名公園,35.557999,139.732564,4
00000271,K1-109.萩中公園プール駐輪場,35.549323,139.737091,9
00000272,K1-110.萩中集会所裏,35.550479,139.739538,12
00000273,K1-111.本羽田公園,35.546499,139.736761,6
00000274,04.サザンビーチホテル＆リゾート沖縄,26.13218,127.65296,0
00000277,E1-17.小石川パークスクエア,35.713913,139.745416,2
00000280,【他ポートへの返却不可】01_スマート駅リンくん西明石,34.665411,134.961701,5
00000281,080.名鉄協商パーキング犬山駅前,35.380742,136.944674,5
00000283,C1-73.日比谷フォートタワー,35.669871,139.753147,13
00000284,06.パレットくもじ県庁前駅下,26.21429,127.67963,3
00000293,97.大分ソフィアプラザビル,33.24183,131.60025,14
00000294,R-13.杭全バス停,34.639479,135.538205,3
00000295,J-16.ファミリーマート此花酉島店,34.682882,135.437997,5
00000296,J-17.ファミリーマート此花島屋店,34.676361,135.440181,7
00000297,J-18.ファミリーマート島屋一丁目店,34.677831,135.443261,5
00000298,J-19.ファミリーマート島屋三丁目店,34.677661,135.444021,5
00000301,K1-114.下丸子公園,35.568722,139.680736,8
00000302,K1-115.旧呑川緑地（大森中三丁目）,35.565685,139.736195,10
00000303,K1-116.旧呑川緑地（大森東五丁目）,35.567176,139.742345,8
00000304,124.クリオ レジダンス横濱 ベイサイド,35.471425,139.638634,27
00000305,082.名鉄協商パーキング新栄第16,35.168031,136.922982,3
00000306,083.名鉄協商パーキング大曽根第13,35.193483,136.937774,3
00000308,113.南小泉三丁目,38.239556,140.897471,27
00000309,C3-29.高橋是清翁記念公園,35.674094,139.728895,5
00000311,085.名鉄協商パーキング広小路車道第2,35.169119,136.926382,3
00000316,086.CASSIA錦本町通,35.1718,136.901728,3
00000317,087.CASSIA車道,35.174533,136.925483,2
00000318,D3-14.コーシャハイム高田馬場,35.712413,139.70168,6
00000319,D7-11.新宿清掃事務所,35.716359,139.704377,6
00000322,J-20.ファミリーマート酉島二丁目店,34.684771,135.442462,6
00000326,友部駅（北口）,36.351464,140.306352,6
00000327,道の駅 かさま,36.35568,140.274638,6
00000328,笠間駅,36.373397,140.246433,9
00000329,笠間芸術の森公園（笠間工芸の丘）,36.37264,140.261229,6
00000330,笠間稲荷門前通り（かさま歴史交流館井筒屋）,36.384529,140.256644,6
00000333,115.ファミリーマート上東雲町店,34.38426,132.48716,7
00000334,116.ファミリーマート西旭町店,34.3718,132.47527,8
00000336,118.ファミリーマート広島千田町店,34.37912,132.45686,7
00000339,13.豊見城市観光協会,26.15747,127.65614,5
00000342,094.ファミリーマート栄生二丁目店,35.18677,136.871088,3
00000343,095.ファミリーマート千早店,35.160418,136.918942,4
00000344,096.ファミリーマート南武平町店,35.163715,136.91096,3
00000345,097.ファミリーマート金山五丁目店,35.144183,136.906696,3
00000347,099.ファミリーマート熱田大宝店,35.129268,136.895175,3
00000348,100.ファミリーマート熱田波寄町店,35.143028,136.905126,6
00000349,101.ファミリーマート吹上駅北店,35.159844,136.935104,9
00000350,C5-40.芝浦ふ頭駅前暫定自転車駐車場,35.64096,139.75754,3
00000351,M3-21.渋谷ソラスタ,35.65618,139.69612,12
00000352,100.若松バス停前駐輪場,36.553937,136.69042,10
00000354,125.タイムズステーション横浜山下町B,35.44491,139.647974,8
00000355,126.神奈川大学みなとみらいキャンパス,35.458566,139.62837,19
00000356,117.アクロスプラザ仙台幸町,38.272341,140.903512,12
00000357,102.ファミリーマート中村上ノ宮町店,35.176996,136.863369,3
00000358,103.ファミリーマート則武本通店,35.170187,136.872669,5
00000359,104.ファミリーマート葵店,35.170937,136.920249,3
00000360,105.ファミリーマート葵一丁目店,35.170533,136.921465,2
00000361,106.ファミリーマート代官町東店,35.17615,136.924683,5
00000362,107.ファミリーマート金城一丁目店,35.192955,136.903008,5
00000364,109.ファミリーマート岩塚本通五丁目店,35.157846,136.842945,3
00000365,110.RTセンターステージビル,35.168196,136.919224,4
00000366,111.名鉄協商パーキング神宮前駅西PB,35.124198,136.912221,4
00000367,112.サンプラザ金山,35.146467,136.900576,3
00000368,113イオンモールNagoyaNoritakeGarden前,35.181068,136.879719,10
00000369,114.則武新町立体駐車場前,35.181193,136.880191,10
00000370,N2-06.江古田1丁目B,35.72515,139.672614,6
00000371,D7-12.プラウド高田馬場,35.715538,139.701683,6
00000372,J1-43.アルコタワー・ホテル雅叙園東京,35.63237,139.712681,12
00000374,40.平城宮跡前駐車場,34.684273,135.793637,5
00000375,K1-117.安詳寺,35.581798,139.695222,12
00000376,K1-118.久が原3丁目,35.580741,139.687152,10
00000377,K1-125.池上駅南口第1,35.571866,139.703214,2
00000378,K1-126.池上駅南口第2,35.571815,139.702387,3
00000380,H1-159.夢の大橋西,35.627599,139.782953,16
00000381,H1-156.つどい橋下,35.630791,139.787396,8
00000382,114.榴岡天満宮,38.260152,140.893214,10
00000383,M6-15.cova Hatagaya,35.67741,139.67383,3
00000384,B2-15.KABUTO ONE,35.68168,139.77825,25
00000386,H1-143.ダイバーシティ東京 プラザ,35.624619,139.776006,12
00000388,118.ライブコート泉,35.177033,136.908939,4
00000389,124.名鉄協商パーキング白川公園,35.165423,136.898113,4
00000390,115.ファミリーマート城西二丁目店,35.184569,136.893505,3
00000391,116.ファミリーマート菊井一丁目店,35.181023,136.885714,2
00000392,117.ファミリーマート芳野一丁目店,35.184704,136.919934,3
00000393,119.ファミリーマート那古野南店,35.17497,136.887116,7
00000394,120.ファミリーマート名古屋千代田店,35.153325,136.911482,14
00000395,121.ファミリーマート柳原二丁目店,35.191195,136.908134,3
00000396,122.ファミリーマート松原二丁目店,35.154944,136.898274,9
